	model	freq	acc	diff	expected	unexpected	macrodiff
0	distilgpt2	0	0.5	1.32503592967987	9.942741632461548	8.617705702781677	1.3250359296798706
1	distilgpt2	1	0.5	0.8541185855865479	9.80776584148407	8.953647255897522	0.8541185855865479
2	distilgpt2	106	0.5	0.9073394536972046	9.248212099075317	8.340872645378113	0.9073394536972046
3	distilgpt2	153	0.5	0.5798012018203735	9.735675811767578	9.155874609947205	0.5798012018203735
4	distilgpt2	17	0.5	0.7107964754104605	9.938666701316833	9.227870225906372	0.7107964754104614
5	distilgpt2	211	0.5	1.820554494857788	10.629326701164246	8.808772206306458	1.820554494857788
6	distilgpt2	25	0.5	0.705087304115295	9.784992456436157	9.079905152320862	0.7050873041152954
7	distilgpt2	280	0.5	1.1914428472518916	9.375714778900146	8.184271931648254	1.191442847251892
8	distilgpt2	320	0.5	0.824745774269104	9.857924461364746	9.033178687095642	0.824745774269104
9	distilgpt2	381	0.5	1.0901865959167485	9.788394093513489	8.69820749759674	1.090186595916748
10	distilgpt2	418	0.5	0.873021125793457	9.52980124950409	8.656780123710632	0.873021125793457
11	distilgpt2	490	0.5	1.115234136581421	9.378203630447388	8.262969493865967	1.115234136581421
12	distilgpt2	53	0.5	0.8554005622863778	9.140543460845947	8.28514289855957	0.855400562286377
13	distilgpt2	530	0.5	1.1540708541870122	9.08377742767334	7.929706573486328	1.1540708541870117
14	distilgpt2	7	0.5	0.40387046337127663	9.361967086791992	8.958096623420715	0.40387046337127686
15	distilgpt2	71	0.5	0.9570260047912598	9.406625390052795	8.449599385261536	0.9570260047912598
16	distilgpt2	842	0.5	1.0567835569381712	9.83252465724945	8.77574110031128	1.0567835569381714
17	distilgpt2	88	0.5	0.33250343799591064	10.373007535934448	10.040504097938538	0.33250343799591064
18	distilgpt2	931	0.5	1.0522875785827637	9.520704984664917	8.468417406082153	1.0522875785827637
19	distilgpt2	995	0.5	1.2179163098335264	9.420177459716797	8.20226114988327	1.2179163098335266
