	model	pairid	expected	unexpected	diff	acc
0	distilgpt2	1	9.718372106552124	9.92064082622528	-0.20226871967315674	True
1	distilgpt2	2	9.644880294799806	7.952895665168763	1.691984629631044	False
2	distilgpt2	3	6.856705029805501	8.20742177963257	-1.3507167498270691	True
3	distilgpt2	4	7.42696750164032	10.020357449849447	-2.5933899482091274	True
4	distilgpt2	5	5.317005475362142	9.85446834564209	-4.537462870279948	True
5	distilgpt2	6	8.937953131539482	7.59399139881134	1.3439617327281415	False
6	distilgpt2	7	8.103757828474045	7.744963735342026	0.35879409313201904	False
7	distilgpt2	8	9.633271016180515	8.614273473620415	1.0189975425601006	False
8	distilgpt2	9	8.2161860704422	7.165673163202074	1.050512907240126	False
9	distilgpt2	10	8.072451794147492	7.165673163202074	0.9067786309454178	False
